# Common medical abbreviations. Format: abbr|full expansion
# The expansion is what actually gets sent to the embedding model, so the
# abbreviation clusters near its true meaning. The user still types the
# short form (which becomes the stored vocab entry).
#
# Curated for unambiguous, widely-recognized short forms. Where an
# abbreviation has multiple common expansions, we pick the diagnosis-flavored
# one (e.g. `pd` = parkinson disease, not peritoneal dialysis; `as` =
# ankylosing spondylitis, not aortic stenosis).

# ─── Cardiovascular ────────────────────────────────────────────────────────
mi|myocardial infarction (heart attack)
crps|complex regional pain syndrome
reflex sympathetic dystrophy|complex regional pain syndrome
rsd|complex regional pain syndrome
causalgia|complex regional pain syndrome
buergers disease|buerger disease
buerger|buerger disease
thromboangiitis obliterans|buerger disease
behcet|behcet disease
behcets|behcet disease
behcets disease|behcet disease
adamantiades behcet|behcet disease
sps|stiff person syndrome
stiff man syndrome|stiff person syndrome
haemochromatosis|hemochromatosis
hemochromatosis type 1|hemochromatosis
hereditary hemochromatosis|hemochromatosis
lam|lymphangioleiomyomatosis
mcardles disease|mcardle disease
mcardle|mcardle disease
glycogen storage disease type v|mcardle disease
gsd v|mcardle disease
hrs|hepatorenal syndrome
